,Patient,Gene1,Gene2,Edge,Curvature,Response
273,HS852T_SKIN,GRB2,ERBB3,GRB2;ERBB3,0.5763354189478238,0
274,HS852T_SKIN,GRB2,ERBB2,GRB2;ERBB2,0.5418483747713005,0
275,HS852T_SKIN,GRB2,EGFR,GRB2;EGFR,0.5646575791201467,0
276,HS852T_SKIN,GRB2,NTRK2,GRB2;NTRK2,0.5845094303296589,0
277,HS852T_SKIN,GRB2,SRC,GRB2;SRC,0.5649503209397586,0
278,HS852T_SKIN,GRB2,SHC3,GRB2;SHC3,0.5280174837317533,0
279,HS852T_SKIN,GRB2,SOS1,GRB2;SOS1,0.41969318208694506,0
280,HS852T_SKIN,SRC,ERBB3,SRC;ERBB3,0.5726322966354438,0
281,HS852T_SKIN,SRC,ERBB2,SRC;ERBB2,0.5407380451640205,0
282,HS852T_SKIN,SRC,EGFR,SRC;EGFR,0.5823676762929124,0
283,HS852T_SKIN,SRC,SOS1,SRC;SOS1,0.31572733858194957,0
284,HS852T_SKIN,SRC,SHC3,SRC;SHC3,0.3848285863555093,0
285,HS852T_SKIN,ERBB2,ERBB3,ERBB2;ERBB3,0.6260401838874995,0
286,HS852T_SKIN,ERBB2,EGFR,ERBB2;EGFR,0.5390829713147396,0
287,HS852T_SKIN,ERBB2,SHC3,ERBB2;SHC3,0.31441324749185495,0
288,HS852T_SKIN,EGFR,ERBB3,EGFR;ERBB3,0.5712538024538529,0
289,HS852T_SKIN,EGFR,SHC3,EGFR;SHC3,0.38246345615273025,0
290,HS852T_SKIN,EGFR,SOS1,EGFR;SOS1,0.31129238649949464,0
291,HS852T_SKIN,NTRK2,SHC3,NTRK2;SHC3,-0.5296096776859271,0
292,HS852T_SKIN,SOS1,SHC3,SOS1;SHC3,-0.31569513165654817,0
293,HS852T_SKIN,ERBB3,SHC3,ERBB3;SHC3,0.42598774025296016,0
294,HS895T_FIBROBLAST,GRB2,ERBB3,GRB2;ERBB3,0.30773561951578177,0
295,HS895T_FIBROBLAST,GRB2,ERBB2,GRB2;ERBB2,0.5208126068658048,0
296,HS895T_FIBROBLAST,GRB2,EGFR,GRB2;EGFR,0.6035347802943163,0
297,HS895T_FIBROBLAST,GRB2,NTRK2,GRB2;NTRK2,0.0,0
298,HS895T_FIBROBLAST,GRB2,SRC,GRB2;SRC,0.6032795094360777,0
299,HS895T_FIBROBLAST,GRB2,SHC3,GRB2;SHC3,0.0,0
300,HS895T_FIBROBLAST,GRB2,SOS1,GRB2;SOS1,0.5137624927350801,0
301,HS895T_FIBROBLAST,SRC,ERBB3,SRC;ERBB3,0.3908719409467264,0
302,HS895T_FIBROBLAST,SRC,ERBB2,SRC;ERBB2,0.5128129224981641,0
303,HS895T_FIBROBLAST,SRC,EGFR,SRC;EGFR,0.6017384146003677,0
304,HS895T_FIBROBLAST,SRC,SOS1,SRC;SOS1,0.5407146371464691,0
305,HS895T_FIBROBLAST,SRC,SHC3,SRC;SHC3,0.5573331607952179,0
306,HS895T_FIBROBLAST,ERBB2,ERBB3,ERBB2;ERBB3,0.5329061362549936,0
307,HS895T_FIBROBLAST,ERBB2,EGFR,ERBB2;EGFR,0.5130303133210075,0
308,HS895T_FIBROBLAST,ERBB2,SHC3,ERBB2;SHC3,0.43750140101345536,0
309,HS895T_FIBROBLAST,EGFR,ERBB3,EGFR;ERBB3,0.39121967811531866,0
310,HS895T_FIBROBLAST,EGFR,SHC3,EGFR;SHC3,0.5574365064780304,0
311,HS895T_FIBROBLAST,EGFR,SOS1,EGFR;SOS1,0.540862223069258,0
312,HS895T_FIBROBLAST,NTRK2,SHC3,NTRK2;SHC3,0.0,0
313,HS895T_FIBROBLAST,SOS1,SHC3,SOS1;SHC3,0.4758475141202424,0
314,HS895T_FIBROBLAST,ERBB3,SHC3,ERBB3;SHC3,0.14926631203416063,0
315,HS934T_FIBROBLAST,GRB2,ERBB3,GRB2;ERBB3,0.533084843492124,1
316,HS934T_FIBROBLAST,GRB2,ERBB2,GRB2;ERBB2,0.5632843008618056,1
317,HS934T_FIBROBLAST,GRB2,EGFR,GRB2;EGFR,0.6080685915996453,1
318,HS934T_FIBROBLAST,GRB2,NTRK2,GRB2;NTRK2,0.5924505420250115,1
319,HS934T_FIBROBLAST,GRB2,SRC,GRB2;SRC,0.5939943778398407,1
320,HS934T_FIBROBLAST,GRB2,SHC3,GRB2;SHC3,0.5262175619592524,1
321,HS934T_FIBROBLAST,GRB2,SOS1,GRB2;SOS1,0.5052738675650077,1
322,HS934T_FIBROBLAST,SRC,ERBB3,SRC;ERBB3,0.5156597196781736,1
